/*********************************************
 * OPL 22.1.1.0 Data
 * Instance: tai75a
 * Clients: 15
 * Solution optimale connue: 1618.36
 *********************************************/
nbC = 15;
nbV = 2;
CapaMax = 1445;
DemandesCantines = [50, 50, 170, 297, 9, 630, 179, 179, 216, 4, 9, 154, 117, 63, 436];
Distance = [
    [0.000, 66.038, 92.455, 96.208, 60.208, 55.866, 78.102, 72.422, 55.471, 72.801, 80.709, 82.928, 24.000, 12.649, 21.024, 29.155],
    [66.038, 0.000, 37.054, 36.401, 18.868, 16.492, 25.710, 7.616, 10.770, 9.220, 14.866, 35.440, 57.070, 56.859, 48.795, 90.824],
    [92.455, 37.054, 0.000, 8.246, 32.450, 37.590, 14.422, 30.017, 42.720, 28.000, 28.460, 12.369, 75.286, 80.722, 80.062, 111.041],
    [96.208, 36.401, 8.246, 0.000, 36.069, 40.460, 18.868, 28.862, 43.829, 27.203, 25.020, 20.025, 80.449, 84.900, 82.377, 116.250],
    [60.208, 18.868, 32.450, 36.069, 0.000, 6.000, 18.028, 19.235, 15.232, 18.028, 27.000, 24.739, 45.177, 48.836, 47.927, 80.777],
    [55.866, 16.492, 37.590, 40.460, 6.000, 0.000, 23.259, 19.235, 10.000, 18.682, 27.659, 30.594, 42.720, 45.000, 42.485, 77.827],
    [78.102, 25.710, 14.422, 18.868, 18.028, 23.259, 0.000, 20.125, 29.275, 17.889, 22.672, 9.849, 61.612, 66.483, 65.742, 97.417],
    [72.422, 7.616, 30.017, 28.862, 19.235, 19.235, 20.125, 0.000, 17.029, 2.236, 8.544, 29.967, 61.685, 62.650, 55.902, 96.255],
    [55.471, 10.770, 42.720, 43.829, 15.232, 10.000, 29.275, 17.029, 0.000, 17.692, 25.239, 38.000, 46.530, 46.098, 39.051, 80.056],
    [72.801, 9.220, 28.000, 27.203, 18.028, 18.682, 17.889, 2.236, 17.692, 0.000, 9.055, 27.731, 61.351, 62.769, 56.727, 96.177],
    [80.709, 14.866, 28.460, 25.020, 27.000, 27.659, 22.672, 8.544, 25.239, 9.055, 0.000, 31.890, 70.214, 71.120, 63.655, 104.785],
    [82.928, 35.440, 12.369, 20.025, 24.739, 30.594, 9.849, 29.967, 38.000, 27.731, 31.890, 0.000, 64.351, 70.803, 72.450, 99.905],
    [24.000, 57.070, 75.286, 80.449, 45.177, 42.720, 61.612, 61.685, 46.530, 61.351, 70.214, 64.351, 0.000, 12.649, 31.145, 35.805],
    [12.649, 56.859, 80.722, 84.900, 48.836, 45.000, 66.483, 62.650, 46.098, 62.769, 71.120, 70.803, 12.649, 0.000, 20.248, 34.205],
    [21.024, 48.795, 80.062, 82.377, 47.927, 42.485, 65.742, 55.902, 39.051, 56.727, 63.655, 72.450, 31.145, 20.248, 0.000, 50.040],
    [29.155, 90.824, 111.041, 116.250, 80.777, 77.827, 97.417, 96.255, 80.056, 96.177, 104.785, 99.905, 35.805, 34.205, 50.040, 0.000]
];
